Category,Region,Year,Value
"Total","Bihor","1990","195"
"Total","Bihor","1991","195"
"Total","Bihor","1992","195"
"Total","Bihor","1993","192"
"Total","Bihor","1994","195"
"Total","Bihor","1995","195"
"Total","Bihor","1996","195"
"Total","Bihor","1997","195"
"Total","Bihor","1998","196"
"Total","Bihor","1999","196"
"Total","Bihor","2000","196"
"Total","Bihor","2001","196"
"Total","Bihor","2002","198"
"Total","Bihor","2003","195"
"Total","Bihor","2004","195"
"Total","Bihor","2005","193"
"Total","Bihor","2006","200"
"Total","Bihor","2007","207"
"Total","Bihor","2008","208"
"Total","Bihor","2009","209"
"Total","Bihor","2010","209"
"Total","Bihor","2011","209"
"Total","Bihor","2012","209"
"Total","Bihor","2013","209"
"Total","Bihor","2014","209"
"Total","Bihor","2015","209"
"Total","Bihor","2016","209"
"Total","Bihor","2017","209"
"Total","Bihor","2018","211"
"Total","Bihor","2019","211"
"Total","Bistrita-Nasaud","1990","190"
"Total","Bistrita-Nasaud","1991","190"
"Total","Bistrita-Nasaud","1992","190"
"Total","Bistrita-Nasaud","1993","190"
"Total","Bistrita-Nasaud","1994","190"
"Total","Bistrita-Nasaud","1995","190"
"Total","Bistrita-Nasaud","1996","189"
"Total","Bistrita-Nasaud","1997","190"
"Total","Bistrita-Nasaud","1998","190"
"Total","Bistrita-Nasaud","1999","190"
"Total","Bistrita-Nasaud","2000","190"
"Total","Bistrita-Nasaud","2001","190"
"Total","Bistrita-Nasaud","2002","201"
"Total","Bistrita-Nasaud","2003","190"
"Total","Bistrita-Nasaud","2004","190"
"Total","Bistrita-Nasaud","2005","193"
"Total","Bistrita-Nasaud","2006","192"
"Total","Bistrita-Nasaud","2007","192"
"Total","Bistrita-Nasaud","2008","191"
"Total","Bistrita-Nasaud","2009","192"
"Total","Bistrita-Nasaud","2010","192"
"Total","Bistrita-Nasaud","2011","192"
"Total","Bistrita-Nasaud","2012","192"
"Total","Bistrita-Nasaud","2013","192"
"Total","Bistrita-Nasaud","2014","192"
"Total","Bistrita-Nasaud","2015","192"
"Total","Bistrita-Nasaud","2016","192"
"Total","Bistrita-Nasaud","2017","192"
"Total","Bistrita-Nasaud","2018","193"
"Total","Bistrita-Nasaud","2019","193"
"Total","Cluj","1990","153"
"Total","Cluj","1991","153"
"Total","Cluj","1992","153"
"Total","Cluj","1993","153"
"Total","Cluj","1994","154"
"Total","Cluj","1995","153"
"Total","Cluj","1996","153"
"Total","Cluj","1997","153"
"Total","Cluj","1998","153"
"Total","Cluj","1999","153"
"Total","Cluj","2000","152"
"Total","Cluj","2001","152"
"Total","Cluj","2002","152"
"Total","Cluj","2003","152"
"Total","Cluj","2004","152"
"Total","Cluj","2005","156"
"Total","Cluj","2006","146"
"Total","Cluj","2007","148"
"Total","Cluj","2008","150"
"Total","Cluj","2009","150"
"Total","Cluj","2010","158"
"Total","Cluj","2011","160"
"Total","Cluj","2012","161"
"Total","Cluj","2013","161"
"Total","Cluj","2014","161"
"Total","Cluj","2015","163"
"Total","Cluj","2016","164"
"Total","Cluj","2017","165"
"Total","Cluj","2018","168"
"Total","Cluj","2019","170"
"Total","Maramures","1990","262"
"Total","Maramures","1991","262"
"Total","Maramures","1992","263"
"Total","Maramures","1993","263"
"Total","Maramures","1994","263"
"Total","Maramures","1995","263"
"Total","Maramures","1996","263"
"Total","Maramures","1997","263"
"Total","Maramures","1998","263"
"Total","Maramures","1999","263"
"Total","Maramures","2000","263"
"Total","Maramures","2001","263"
"Total","Maramures","2002","263"
"Total","Maramures","2003","265"
"Total","Maramures","2004","263"
"Total","Maramures","2005","263"
"Total","Maramures","2006","260"
"Total","Maramures","2007","255"
"Total","Maramures","2008","260"
"Total","Maramures","2009","260"
"Total","Maramures","2010","259"
"Total","Maramures","2011","259"
"Total","Maramures","2012","259"
"Total","Maramures","2013","259"
"Total","Maramures","2014","259"
"Total","Maramures","2015","260"
"Total","Maramures","2016","260"
"Total","Maramures","2017","260"
"Total","Maramures","2018","260"
"Total","Maramures","2019","260"
"Total","Satu Mare","1990","69"
"Total","Satu Mare","1991","69"
"Total","Satu Mare","1992","68"
"Total","Satu Mare","1993","68"
"Total","Satu Mare","1994","68"
"Total","Satu Mare","1995","68"
"Total","Satu Mare","1996","68"
"Total","Satu Mare","1997","68"
"Total","Satu Mare","1998","68"
"Total","Satu Mare","1999","68"
"Total","Satu Mare","2000","68"
"Total","Satu Mare","2001","68"
"Total","Satu Mare","2002","68"
"Total","Satu Mare","2003","68"
"Total","Satu Mare","2004","68"
"Total","Satu Mare","2005","68"
"Total","Satu Mare","2006","70"
"Total","Satu Mare","2007","70"
"Total","Satu Mare","2008","72"
"Total","Satu Mare","2009","73"
"Total","Satu Mare","2010","72"
"Total","Satu Mare","2011","73"
"Total","Satu Mare","2012","73"
"Total","Satu Mare","2013","73"
"Total","Satu Mare","2014","73"
"Total","Satu Mare","2015","73"
"Total","Satu Mare","2016","72"
"Total","Satu Mare","2017","72"
"Total","Satu Mare","2018","73"
"Total","Satu Mare","2019","73"
"Total","Salaj","1990","95"
"Total","Salaj","1991","95"
"Total","Salaj","1992","95"
"Total","Salaj","1993","95"
"Total","Salaj","1994","95"
"Total","Salaj","1995","96"
"Total","Salaj","1996","95"
"Total","Salaj","1997","95"
"Total","Salaj","1998","95"
"Total","Salaj","1999","95"
"Total","Salaj","2000","96"
"Total","Salaj","2001","96"
