Category,Region,Year,Value
"Total","MACROREGIUNEA UNU","1990","2149"
"Total","MACROREGIUNEA UNU","1991","2149"
"Total","MACROREGIUNEA UNU","1992","2150"
"Total","MACROREGIUNEA UNU","1993","2145"
"Total","MACROREGIUNEA UNU","1994","2149"
"Total","MACROREGIUNEA UNU","1995","2149"
"Total","MACROREGIUNEA UNU","1996","2148"
"Total","MACROREGIUNEA UNU","1997","2149"
"Total","MACROREGIUNEA UNU","1998","2149"
"Total","MACROREGIUNEA UNU","1999","2149"
"Total","MACROREGIUNEA UNU","2000","2150"
"Total","MACROREGIUNEA UNU","2001","2149"
"Total","MACROREGIUNEA UNU","2002","2158"
"Total","MACROREGIUNEA UNU","2003","2150"
"Total","MACROREGIUNEA UNU","2004","2151"
"Total","MACROREGIUNEA UNU","2005","2159"
"Total","MACROREGIUNEA UNU","2006","2191"
"Total","MACROREGIUNEA UNU","2007","2232"
"Total","MACROREGIUNEA UNU","2008","2230"
"Total","MACROREGIUNEA UNU","2009","2237"
"Total","MACROREGIUNEA UNU","2010","2242"
"Total","MACROREGIUNEA UNU","2011","2248"
"Total","MACROREGIUNEA UNU","2012","2250"
"Total","MACROREGIUNEA UNU","2013","2255"
"Total","MACROREGIUNEA UNU","2014","2256"
"Total","MACROREGIUNEA UNU","2015","2256"
"Total","MACROREGIUNEA UNU","2016","2258"
"Total","MACROREGIUNEA UNU","2017","2260"
"Total","MACROREGIUNEA UNU","2018","2270"
"Total","MACROREGIUNEA UNU","2019","2272"
"Total","MACROREGIUNEA DOI","1990","1728"
"Total","MACROREGIUNEA DOI","1991","1725"
"Total","MACROREGIUNEA DOI","1992","1725"
"Total","MACROREGIUNEA DOI","1993","1725"
"Total","MACROREGIUNEA DOI","1994","1729"
"Total","MACROREGIUNEA DOI","1995","1729"
"Total","MACROREGIUNEA DOI","1996","1726"
"Total","MACROREGIUNEA DOI","1997","1727"
"Total","MACROREGIUNEA DOI","1998","1727"
"Total","MACROREGIUNEA DOI","1999","1727"
"Total","MACROREGIUNEA DOI","2000","1726"
"Total","MACROREGIUNEA DOI","2001","1726"
"Total","MACROREGIUNEA DOI","2002","1735"
"Total","MACROREGIUNEA DOI","2003","1731"
"Total","MACROREGIUNEA DOI","2004","1742"
"Total","MACROREGIUNEA DOI","2005","1744"
"Total","MACROREGIUNEA DOI","2006","1732"
"Total","MACROREGIUNEA DOI","2007","1740"
"Total","MACROREGIUNEA DOI","2008","1728"
"Total","MACROREGIUNEA DOI","2009","1742"
"Total","MACROREGIUNEA DOI","2010","1743"
"Total","MACROREGIUNEA DOI","2011","1741"
"Total","MACROREGIUNEA DOI","2012","1744"
"Total","MACROREGIUNEA DOI","2013","1741"
"Total","MACROREGIUNEA DOI","2014","1742"
"Total","MACROREGIUNEA DOI","2015","1747"
"Total","MACROREGIUNEA DOI","2016","1748"
"Total","MACROREGIUNEA DOI","2017","1749"
"Total","MACROREGIUNEA DOI","2018","1752"
"Total","MACROREGIUNEA DOI","2019","1754"
"Total","MACROREGIUNEA TREI","1990","687"
"Total","MACROREGIUNEA TREI","1991","687"
"Total","MACROREGIUNEA TREI","1992","687"
"Total","MACROREGIUNEA TREI","1993","686"
"Total","MACROREGIUNEA TREI","1994","686"
"Total","MACROREGIUNEA TREI","1995","687"
"Total","MACROREGIUNEA TREI","1996","688"
"Total","MACROREGIUNEA TREI","1997","687"
"Total","MACROREGIUNEA TREI","1998","686"
"Total","MACROREGIUNEA TREI","1999","686"
"Total","MACROREGIUNEA TREI","2000","686"
"Total","MACROREGIUNEA TREI","2001","686"
"Total","MACROREGIUNEA TREI","2002","686"
"Total","MACROREGIUNEA TREI","2003","682"
"Total","MACROREGIUNEA TREI","2004","683"
"Total","MACROREGIUNEA TREI","2005","684"
"Total","MACROREGIUNEA TREI","2006","686"
"Total","MACROREGIUNEA TREI","2007","684"
"Total","MACROREGIUNEA TREI","2008","684"
"Total","MACROREGIUNEA TREI","2009","683"
"Total","MACROREGIUNEA TREI","2010","686"
"Total","MACROREGIUNEA TREI","2011","685"
"Total","MACROREGIUNEA TREI","2012","685"
"Total","MACROREGIUNEA TREI","2013","685"
"Total","MACROREGIUNEA TREI","2014","685"
"Total","MACROREGIUNEA TREI","2015","685"
"Total","MACROREGIUNEA TREI","2016","685"
"Total","MACROREGIUNEA TREI","2017","686"
"Total","MACROREGIUNEA TREI","2018","685"
"Total","MACROREGIUNEA TREI","2019","685"
"Total","MACROREGIUNEA PATRU","1990","1807"
"Total","MACROREGIUNEA PATRU","1991","1806"
"Total","MACROREGIUNEA PATRU","1992","1806"
"Total","MACROREGIUNEA PATRU","1993","1810"
"Total","MACROREGIUNEA PATRU","1994","1805"
"Total","MACROREGIUNEA PATRU","1995","1804"
"Total","MACROREGIUNEA PATRU","1996","1804"
"Total","MACROREGIUNEA PATRU","1997","1804"
"Total","MACROREGIUNEA PATRU","1998","1805"
"Total","MACROREGIUNEA PATRU","1999","1805"
"Total","MACROREGIUNEA PATRU","2000","1805"
"Total","MACROREGIUNEA PATRU","2001","1805"
"Total","MACROREGIUNEA PATRU","2002","1808"
"Total","MACROREGIUNEA PATRU","2003","1805"
"Total","MACROREGIUNEA PATRU","2004","1807"
"Total","MACROREGIUNEA PATRU","2005","1804"
"Total","MACROREGIUNEA PATRU","2006","1820"
"Total","MACROREGIUNEA PATRU","2007","1828"
"Total","MACROREGIUNEA PATRU","2008","1828"
"Total","MACROREGIUNEA PATRU","2009","1833"
"Total","MACROREGIUNEA PATRU","2010","1844"
"Total","MACROREGIUNEA PATRU","2011","1848"
"Total","MACROREGIUNEA PATRU","2012","1851"
"Total","MACROREGIUNEA PATRU","2013","1858"
"Total","MACROREGIUNEA PATRU","2014","1861"
"Total","MACROREGIUNEA PATRU","2015","1867"
"Total","MACROREGIUNEA PATRU","2016","1868"
"Total","MACROREGIUNEA PATRU","2017","1870"
"Total","MACROREGIUNEA PATRU","2018","1877"
"Total","MACROREGIUNEA PATRU","2019","1881"
