Category,Region,Year,Value
"Total","Regiunea NORD-VEST","1990","964"
"Total","Regiunea NORD-VEST","1991","964"
"Total","Regiunea NORD-VEST","1992","965"
"Total","Regiunea NORD-VEST","1993","961"
"Total","Regiunea NORD-VEST","1994","965"
"Total","Regiunea NORD-VEST","1995","964"
"Total","Regiunea NORD-VEST","1996","963"
"Total","Regiunea NORD-VEST","1997","964"
"Total","Regiunea NORD-VEST","1998","964"
"Total","Regiunea NORD-VEST","1999","964"
"Total","Regiunea NORD-VEST","2000","964"
"Total","Regiunea NORD-VEST","2001","964"
"Total","Regiunea NORD-VEST","2002","978"
"Total","Regiunea NORD-VEST","2003","966"
"Total","Regiunea NORD-VEST","2004","964"
"Total","Regiunea NORD-VEST","2005","968"
"Total","Regiunea NORD-VEST","2006","964"
"Total","Regiunea NORD-VEST","2007","968"
"Total","Regiunea NORD-VEST","2008","977"
"Total","Regiunea NORD-VEST","2009","979"
"Total","Regiunea NORD-VEST","2010","987"
"Total","Regiunea NORD-VEST","2011","988"
"Total","Regiunea NORD-VEST","2012","990"
"Total","Regiunea NORD-VEST","2013","991"
"Total","Regiunea NORD-VEST","2014","991"
"Total","Regiunea NORD-VEST","2015","993"
"Total","Regiunea NORD-VEST","2016","994"
"Total","Regiunea NORD-VEST","2017","995"
"Total","Regiunea NORD-VEST","2018","1000"
"Total","Regiunea NORD-VEST","2019","1002"
"Total","Regiunea CENTRU","1990","1185"
"Total","Regiunea CENTRU","1991","1185"
"Total","Regiunea CENTRU","1992","1186"
"Total","Regiunea CENTRU","1993","1184"
"Total","Regiunea CENTRU","1994","1185"
"Total","Regiunea CENTRU","1995","1184"
"Total","Regiunea CENTRU","1996","1185"
"Total","Regiunea CENTRU","1997","1185"
"Total","Regiunea CENTRU","1998","1185"
"Total","Regiunea CENTRU","1999","1185"
"Total","Regiunea CENTRU","2000","1185"
"Total","Regiunea CENTRU","2001","1185"
"Total","Regiunea CENTRU","2002","1181"
"Total","Regiunea CENTRU","2003","1184"
"Total","Regiunea CENTRU","2004","1187"
"Total","Regiunea CENTRU","2005","1190"
"Total","Regiunea CENTRU","2006","1227"
"Total","Regiunea CENTRU","2007","1264"
"Total","Regiunea CENTRU","2008","1252"
"Total","Regiunea CENTRU","2009","1257"
"Total","Regiunea CENTRU","2010","1256"
"Total","Regiunea CENTRU","2011","1260"
"Total","Regiunea CENTRU","2012","1260"
"Total","Regiunea CENTRU","2013","1264"
"Total","Regiunea CENTRU","2014","1265"
"Total","Regiunea CENTRU","2015","1263"
"Total","Regiunea CENTRU","2016","1264"
"Total","Regiunea CENTRU","2017","1265"
"Total","Regiunea CENTRU","2018","1269"
"Total","Regiunea CENTRU","2019","1270"
"Total","Regiunea NORD-EST","1990","1187"
"Total","Regiunea NORD-EST","1991","1186"
"Total","Regiunea NORD-EST","1992","1185"
"Total","Regiunea NORD-EST","1993","1185"
"Total","Regiunea NORD-EST","1994","1186"
"Total","Regiunea NORD-EST","1995","1186"
"Total","Regiunea NORD-EST","1996","1185"
"Total","Regiunea NORD-EST","1997","1185"
"Total","Regiunea NORD-EST","1998","1186"
"Total","Regiunea NORD-EST","1999","1185"
"Total","Regiunea NORD-EST","2000","1185"
"Total","Regiunea NORD-EST","2001","1185"
"Total","Regiunea NORD-EST","2002","1185"
"Total","Regiunea NORD-EST","2003","1188"
"Total","Regiunea NORD-EST","2004","1191"
"Total","Regiunea NORD-EST","2005","1193"
"Total","Regiunea NORD-EST","2006","1189"
"Total","Regiunea NORD-EST","2007","1188"
"Total","Regiunea NORD-EST","2008","1181"
"Total","Regiunea NORD-EST","2009","1190"
"Total","Regiunea NORD-EST","2010","1191"
"Total","Regiunea NORD-EST","2011","1192"
"Total","Regiunea NORD-EST","2012","1192"
"Total","Regiunea NORD-EST","2013","1192"
"Total","Regiunea NORD-EST","2014","1194"
"Total","Regiunea NORD-EST","2015","1196"
"Total","Regiunea NORD-EST","2016","1197"
"Total","Regiunea NORD-EST","2017","1198"
"Total","Regiunea NORD-EST","2018","1200"
"Total","Regiunea NORD-EST","2019","1200"
"Total","Regiunea SUD-EST","1990","542"
"Total","Regiunea SUD-EST","1991","540"
"Total","Regiunea SUD-EST","1992","540"
"Total","Regiunea SUD-EST","1993","540"
"Total","Regiunea SUD-EST","1994","543"
"Total","Regiunea SUD-EST","1995","543"
"Total","Regiunea SUD-EST","1996","541"
"Total","Regiunea SUD-EST","1997","542"
"Total","Regiunea SUD-EST","1998","542"
"Total","Regiunea SUD-EST","1999","542"
"Total","Regiunea SUD-EST","2000","542"
"Total","Regiunea SUD-EST","2001","541"
"Total","Regiunea SUD-EST","2002","550"
"Total","Regiunea SUD-EST","2003","543"
"Total","Regiunea SUD-EST","2004","551"
"Total","Regiunea SUD-EST","2005","551"
"Total","Regiunea SUD-EST","2006","543"
"Total","Regiunea SUD-EST","2007","552"
"Total","Regiunea SUD-EST","2008","547"
"Total","Regiunea SUD-EST","2009","552"
"Total","Regiunea SUD-EST","2010","552"
"Total","Regiunea SUD-EST","2011","549"
"Total","Regiunea SUD-EST","2012","551"
"Total","Regiunea SUD-EST","2013","548"
"Total","Regiunea SUD-EST","2014","548"
