Category,Region,Year,Value
Total,TOTAL,1990,6371.0
Total,TOTAL,1991,6367.6
Total,TOTAL,1992,6368.2
Total,TOTAL,1993,6366.9
Total,TOTAL,1994,6369.0
Total,TOTAL,1995,6368.8
Total,TOTAL,1996,6365.7
Total,TOTAL,1997,6367.3
Total,TOTAL,1998,6367.1
Total,TOTAL,1999,6367.3
Total,TOTAL,2000,6366.5
Total,TOTAL,2001,6366.8
Total,TOTAL,2002,6387.8
Total,TOTAL,2003,6368.5
Total,TOTAL,2004,6382.2
Total,TOTAL,2005,6390.6
Total,TOTAL,2006,6427.7
Total,TOTAL,2007,6484.6
Total,TOTAL,2008,6469.9
Total,TOTAL,2009,6494.7
Total,TOTAL,2010,6515.1
Total,TOTAL,2011,6521.8
Total,TOTAL,2012,6529.1
Total,TOTAL,2013,6538.5
Total,TOTAL,2014,6544.6
Total,TOTAL,2015,6555.1
Total,TOTAL,2016,6559.0
Total,TOTAL,2017,6564.9
Total,TOTAL,2018,6583.1
Total,TOTAL,2019,6592.2
Total,'MACROREGIUNEA UNU',1990,2148.6
Total,'MACROREGIUNEA UNU',1991,2149.2
Total,'MACROREGIUNEA UNU',1992,2150.2
Total,'MACROREGIUNEA UNU',1993,2145.3
Total,'MACROREGIUNEA UNU',1994,2149.3
Total,'MACROREGIUNEA UNU',1995,2148.8
Total,'MACROREGIUNEA UNU',1996,2147.8
Total,'MACROREGIUNEA UNU',1997,2149.0
Total,'MACROREGIUNEA UNU',1998,2148.9
Total,'MACROREGIUNEA UNU',1999,2149.1
Total,'MACROREGIUNEA UNU',2000,2149.5
Total,'MACROREGIUNEA UNU',2001,2149.4
Total,'MACROREGIUNEA UNU',2002,2158.3
Total,'MACROREGIUNEA UNU',2003,2150.5
Total,'MACROREGIUNEA UNU',2004,2150.9
Total,'MACROREGIUNEA UNU',2005,2158.6
Total,'MACROREGIUNEA UNU',2006,2190.7
Total,'MACROREGIUNEA UNU',2007,2232.2
Total,'MACROREGIUNEA UNU',2008,2229.6
Total,'MACROREGIUNEA UNU',2009,2236.6
Total,'MACROREGIUNEA UNU',2010,2242.2
Total,'MACROREGIUNEA UNU',2011,2248.1
Total,'MACROREGIUNEA UNU',2012,2249.6
Total,'MACROREGIUNEA UNU',2013,2254.6
Total,'MACROREGIUNEA UNU',2014,2256.1
Total,'MACROREGIUNEA UNU',2015,2256.0
Total,'MACROREGIUNEA UNU',2016,2257.6
